League,BirthPlace,Count,LeagueTotal,Percentage,Rank
NBA,"Chattanooga, TN",3,4177,0.07182188173330141,39.0
NBA,"Cleveland, TN",3,4177,0.07182188173330141,39.0
NBA,"Columbus, MS",3,4177,0.07182188173330141,39.0
NBA,"Corsicana, TX",3,4177,0.07182188173330141,39.0
NBA,"Daytona Beach, FL",3,4177,0.07182188173330141,39.0
NBA,"Des Moines, IA",3,4177,0.07182188173330141,39.0
NBA,"Eugene, OR",3,4177,0.07182188173330141,39.0
NBA,"Evansville, IN",3,4177,0.07182188173330141,39.0
NBA,"Fairfax, VA",3,4177,0.07182188173330141,39.0
NBA,"Fort Lauderdale, FL",3,4177,0.07182188173330141,39.0
NBA,"Fort Smith, AR",3,4177,0.07182188173330141,39.0
NBA,"Glen Ridge, NJ",3,4177,0.07182188173330141,39.0
NBA,"Greenwood, MS",3,4177,0.07182188173330141,39.0
NBA,"Hampton, VA",3,4177,0.07182188173330141,39.0
NBA,"Harlem, NY",3,4177,0.07182188173330141,39.0
NBA,"Hoboken, NJ",3,4177,0.07182188173330141,39.0
NBA,"Johnstown, PA",3,4177,0.07182188173330141,39.0
NBA,"Kalamazoo, MI",3,4177,0.07182188173330141,39.0
NBA,"Kiev, Ukraine",3,4177,0.07182188173330141,39.0
NBA,"Lafayette, LA",3,4177,0.07182188173330141,39.0
NBA,"Lake Wales, FL",3,4177,0.07182188173330141,39.0
NBA,"Lakeland, FL",3,4177,0.07182188173330141,39.0
NBA,"Long Island City, NY",3,4177,0.07182188173330141,39.0
NBA,"Long Island, NY",3,4177,0.07182188173330141,39.0
NBA,"Madison, WI",3,4177,0.07182188173330141,39.0
NBA,"Marion, IN",3,4177,0.07182188173330141,39.0
NBA,"McGehee, AR",3,4177,0.07182188173330141,39.0
NBA,"Merced, CA",3,4177,0.07182188173330141,39.0
NBA,"Minden, LA",3,4177,0.07182188173330141,39.0
NBA,"Munich, Germany",3,4177,0.07182188173330141,39.0
NBA,"Nassau, Bahamas",3,4177,0.07182188173330141,39.0
NBA,"North Hollywood, CA",3,4177,0.07182188173330141,39.0
NBA,"Oak Park, IL",3,4177,0.07182188173330141,39.0
NBA,"Ogden, UT",3,4177,0.07182188173330141,39.0
NBA,"Orangeburg, SC",3,4177,0.07182188173330141,39.0
NBA,"Owensboro, KY",3,4177,0.07182188173330141,39.0
NBA,"Pascagoula, MS",3,4177,0.07182188173330141,39.0
NBA,"Paterson, NJ",3,4177,0.07182188173330141,39.0
NBA,"Petersburg, VA",3,4177,0.07182188173330141,39.0
NBA,"Pineville, LA",3,4177,0.07182188173330141,39.0
NBA,"Plainfield, NJ",3,4177,0.07182188173330141,39.0
NBA,"Poplar Bluff, MO",3,4177,0.07182188173330141,39.0
NBA,"Portsmouth, VA",3,4177,0.07182188173330141,39.0
NBA,"Quincy, IL",3,4177,0.07182188173330141,39.0
NBA,"Roanoke, VA",3,4177,0.07182188173330141,39.0
NBA,"Rockville Centre, NY",3,4177,0.07182188173330141,39.0
NBA,"Russellville, KY",3,4177,0.07182188173330141,39.0
NBA,"San Mateo, CA",3,4177,0.07182188173330141,39.0
NBA,"San Pedro, CA",3,4177,0.07182188173330141,39.0
NBA,"Santa Fe, Argentina",3,4177,0.07182188173330141,39.0
NBA,"Santa Monica, CA",3,4177,0.07182188173330141,39.0
NBA,"Sao Paulo, Brazil",3,4177,0.07182188173330141,39.0
NBA,"Schenectady, NY",3,4177,0.07182188173330141,39.0
NBA,"Southfield, MI",3,4177,0.07182188173330141,39.0
NBA,"Springfield, IL",3,4177,0.07182188173330141,39.0
NBA,"St. Paul, MN",3,4177,0.07182188173330141,39.0
NBA,"The Bronx, NY",3,4177,0.07182188173330141,39.0
NBA,"Tucson, AZ",3,4177,0.07182188173330141,39.0
NBA,"Tuskegee, AL",3,4177,0.07182188173330141,39.0
NBA,"Tyler, TX",3,4177,0.07182188173330141,39.0
NBA,"Uniontown, PA",3,4177,0.07182188173330141,39.0
NBA,"WA, IN",3,4177,0.07182188173330141,39.0
NBA,"Walnut Creek, CA",3,4177,0.07182188173330141,39.0
NBA,"West Covina, CA",3,4177,0.07182188173330141,39.0
NBA,"Yazoo City, MS",3,4177,0.07182188173330141,39.0
NFL,"Honolulu, HI",69,24104,0.2862595419847328,39.0
NFL,"Portland, OR",69,24104,0.2862595419847328,39.0
NFL,"Richmond, VA",69,24104,0.2862595419847328,39.0
NFL,"Toledo, OH",69,24104,0.2862595419847328,39.0
MLB,"Belleville, IL",10,7541,0.13260840737302745,40.0
MLB,"Corpus Christi, TX",10,7541,0.13260840737302745,40.0
MLB,"Des Moines, IA",10,7541,0.13260840737302745,40.0
MLB,"La Crosse, WI",10,7541,0.13260840737302745,40.0
MLB,"Lynn, MA",10,7541,0.13260840737302745,40.0
MLB,"Mesa, AZ",10,7541,0.13260840737302745,40.0
MLB,"Modesto, CA",10,7541,0.13260840737302745,40.0
MLB,"Mountain View, CA",10,7541,0.13260840737302745,40.0
MLB,"Newport Beach, CA",10,7541,0.13260840737302745,40.0
MLB,"Oak Park, IL",10,7541,0.13260840737302745,40.0
MLB,"Palo Alto, CA",10,7541,0.13260840737302745,40.0
MLB,"Visalia, CA",10,7541,0.13260840737302745,40.0
NBA,"Aberdeen, MS",2,4177,0.047881254488867604,40.0
NBA,"Albany, NY",2,4177,0.047881254488867604,40.0
NBA,"Allentown, PA",2,4177,0.047881254488867604,40.0
NBA,"Ambridge, PA",2,4177,0.047881254488867604,40.0
NBA,"Anderson, IN",2,4177,0.047881254488867604,40.0
NBA,"Ann Arbor, MI",2,4177,0.047881254488867604,40.0
