BirthPlace,MLB,NBA,NFL,Total,Rank
"Monreale, Italy",1347.0,1347.0,2438.0,5132.0,4592.0
"Monrovia, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"Monrovie, Liberia",1347.0,1347.0,2438.0,5132.0,4592.0
"Monte Vista, CO",1347.0,1347.0,2438.0,5132.0,4592.0
"Minnetonka Beach, MN",1347.0,1347.0,2438.0,5132.0,4592.0
"Millport, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Moselle, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Moundsville, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Munising, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"Murphy, NC",1347.0,1347.0,2438.0,5132.0,4592.0
"Murray County, GA",1347.0,1347.0,2438.0,5132.0,4592.0
"Murrysville, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Muse, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Musselshell, MT",1347.0,1347.0,2438.0,5132.0,4592.0
"Mutual, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"NV, MO",1347.0,1347.0,2438.0,5132.0,4592.0
"Nacogdoches County, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Nacona, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Nada, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Nantes, OK",1347.0,1347.0,2438.0,5132.0,4592.0
"Nanuet, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Naples, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Napoleon, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Nashville, GA",1347.0,1347.0,2438.0,5132.0,4592.0
"Nassawadox, VA",1347.0,1347.0,2438.0,5132.0,4592.0
"Nassjo, Sweden",1347.0,1347.0,2438.0,5132.0,4592.0
"Navasota, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Navesink, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Navosta, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Nefts, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Nekoosa, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"Nelsonville, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Nemo, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Neuenberg, West Germany",1347.0,1347.0,2438.0,5132.0,4592.0
"Neukirchen, Germany",1347.0,1347.0,2438.0,5132.0,4592.0
"Neusitz, Germany",1347.0,1347.0,2438.0,5132.0,4592.0
"New Albany, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"Munden, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Mundelein, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mullins, SC",1347.0,1347.0,2438.0,5132.0,4592.0
"Mullen, NE",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Airy, GA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Ayr, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Brook, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Clare, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Hermon, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Kisko, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Morris, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Morris, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Pleasant, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Pleasant, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Savage, MD",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Sterling, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Ulla, NC",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Vernon, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Moundsville, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Vernon, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mountain Home, ID",1347.0,1347.0,2438.0,5132.0,4592.0
"Mountaintop, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Moville, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Moxie, AR",1347.0,1347.0,2438.0,5132.0,4592.0
"Mt. Healthy, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Mt. Hope, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Mt. Kisco, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Mt. Morris, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"Mt. Pleasant, SC",1347.0,1347.0,2438.0,5132.0,4592.0
"Mt. Union, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mt.Olive, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Muenster, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Mulberry, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Muleshoe, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Mount Vernon, SD",1347.0,1347.0,2438.0,5132.0,4592.0
"Millersburg, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Millersburg, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"Miller Place, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Marshfield, MA",1347.0,1347.0,2438.0,5132.0,4592.0
"Martin, SD",1347.0,1347.0,2438.0,5132.0,4592.0
"Martinsburg, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Marysville, WA",1347.0,1347.0,2438.0,5132.0,4592.0
"Marytown, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"Maryville, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mascotte, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mason City, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mason City, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Mason, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"Masontown, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Masontown, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Massapequa Park, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Massilon, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Masury, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Matagorda County, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Mathews, VA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mathis, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Matoy, OK",1347.0,1347.0,2438.0,5132.0,4592.0
"Matteson, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mauk, GA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mauston, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"Maxton, NC",1347.0,1347.0,2438.0,5132.0,4592.0
"Maxwell, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mayesville, SC",1347.0,1347.0,2438.0,5132.0,4592.0
"Mayflower, AR",1347.0,1347.0,2438.0,5132.0,4592.0
"Maynard, MN",1347.0,1347.0,2438.0,5132.0,4592.0
"Mayo, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mayo, MD",1347.0,1347.0,2438.0,5132.0,4592.0
"Marshall, MO",1347.0,1347.0,2438.0,5132.0,4592.0
"Marshall, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"Marshall, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"Marshall, CO",1347.0,1347.0,2438.0,5132.0,4592.0
"Maple Plain, MN",1347.0,1347.0,2438.0,5132.0,4592.0
"Maple Shade, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Maplesville, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mapleton, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mapulhu, HI",1347.0,1347.0,2438.0,5132.0,4592.0
"Maquoketa, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Marana, AZ",1347.0,1347.0,2438.0,5132.0,4592.0
"Marash, Armenia",1347.0,1347.0,2438.0,5132.0,4592.0
"Marathon, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Marathon, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"Marbury, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Marfa, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Margaret, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mariah Hill, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"Maypearl, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Marianna, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Marietta, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Marietta, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Marin County, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Marina, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Marinette County, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"Marion Junction, SD",1347.0,1347.0,2438.0,5132.0,4592.0
"Marion, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Marion, LA",1347.0,1347.0,2438.0,5132.0,4592.0
"Marion, SD",1347.0,1347.0,2438.0,5132.0,4592.0
"Markham, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Marks, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Marland, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Marlboro Township, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Marshall County, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Maridian, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Mays Landing, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Maywood, NE",1347.0,1347.0,2438.0,5132.0,4592.0
"Mc David, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Meridian, ID",1347.0,1347.0,2438.0,5132.0,4592.0
"Merigold, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Merkel, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Merrick, NE",1347.0,1347.0,2438.0,5132.0,4592.0
"Merrill, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"Merryville, TN",1347.0,1347.0,2438.0,5132.0,4592.0
"Metcalf, AZ",1347.0,1347.0,2438.0,5132.0,4592.0
"Metropolis, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Miami, NM",1347.0,1347.0,2438.0,5132.0,4592.0
"Miami, OK",1347.0,1347.0,2438.0,5132.0,4592.0
"Midale, Canada",1347.0,1347.0,2438.0,5132.0,4592.0
"Middle Township, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Middleboro, MA",1347.0,1347.0,2438.0,5132.0,4592.0
"Middleburg, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Mercer Island, WA",1347.0,1347.0,2438.0,5132.0,4592.0
"Middleburg, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Middlesboro, KY",1347.0,1347.0,2438.0,5132.0,4592.0
"Middleton, CT",1347.0,1347.0,2438.0,5132.0,4592.0
"Middletown Twp, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Middletown, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Midland City, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Midvale, UT",1347.0,1347.0,2438.0,5132.0,4592.0
"Mifflintown, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Milaca, MN",1347.0,1347.0,2438.0,5132.0,4592.0
"Milam County, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Milan, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"Milburn, OK",1347.0,1347.0,2438.0,5132.0,4592.0
"Mildenhall AFB, England",1347.0,1347.0,2438.0,5132.0,4592.0
"Milford, CT",1347.0,1347.0,2438.0,5132.0,4592.0
"Milford, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Middleport, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"New Albin, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Mercedes, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Meppal, Netherlands",1347.0,1347.0,2438.0,5132.0,4592.0
"McAdenville, NC",1347.0,1347.0,2438.0,5132.0,4592.0
"McArthur, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"McBee, SC",1347.0,1347.0,2438.0,5132.0,4592.0
"McCamey, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"McColl, SC",1347.0,1347.0,2438.0,5132.0,4592.0
"McCook, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"McCook, NE",1347.0,1347.0,2438.0,5132.0,4592.0
"McCreary County, KY",1347.0,1347.0,2438.0,5132.0,4592.0
"McDuffie, GA",1347.0,1347.0,2438.0,5132.0,4592.0
"McEwen, TN",1347.0,1347.0,2438.0,5132.0,4592.0
"McHenry Co., IL",1347.0,1347.0,2438.0,5132.0,4592.0
"McHenry, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"McKenzie, TN",1347.0,1347.0,2438.0,5132.0,4592.0
"McLean, VA",1347.0,1347.0,2438.0,5132.0,4592.0
"Merced County, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"McMechen, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"McPherson, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"McVille, ND",1347.0,1347.0,2438.0,5132.0,4592.0
"Mckinney, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Mcpherson, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Meadow, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Mechanicsville, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Mechanicville, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Mecklenburg, NC",1347.0,1347.0,2438.0,5132.0,4592.0
"Medford, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"Medicine Hat, Canada",1347.0,1347.0,2438.0,5132.0,4592.0
"Mellott, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"Mendham, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Menlo, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Menomonee Falls, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"McNary, AZ",1347.0,1347.0,2438.0,5132.0,4592.0
"Many, LA",1347.0,1347.0,2438.0,5132.0,4592.0
"New Athens, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"New Brockton, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Palmer, MA",1347.0,1347.0,2438.0,5132.0,4592.0
"Palmer, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Palmyra, NC",1347.0,1347.0,2438.0,5132.0,4592.0
"Palos Hills, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Pandora, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Panguitch, UT",1347.0,1347.0,2438.0,5132.0,4592.0
"Panhandle, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Panola, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Papakura, New Zealand",1347.0,1347.0,2438.0,5132.0,4592.0
"Paradise, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Paramus, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Pardeeville, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"Park Falls, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"Park Ridge, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Parkerburg, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Parkersville, OR",1347.0,1347.0,2438.0,5132.0,4592.0
"Parkton, MD",1347.0,1347.0,2438.0,5132.0,4592.0
"Parma, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"Parshall, ND",1347.0,1347.0,2438.0,5132.0,4592.0
"Parsippany Hills, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Parsippany, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Parys, South Africa",1347.0,1347.0,2438.0,5132.0,4592.0
"Pasadena, MD",1347.0,1347.0,2438.0,5132.0,4592.0
"Pass Christian, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Pataskala, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Patterson, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Pattison, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Patton, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Patuxent River, MD",1347.0,1347.0,2438.0,5132.0,4592.0
"Palm Veach Gardens, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Palm Harbor, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Palco, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Palatine, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Oregon, MO",1347.0,1347.0,2438.0,5132.0,4592.0
"Orient, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Orland Park, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Orlando, OK",1347.0,1347.0,2438.0,5132.0,4592.0
"Orlova, Czech Republic",1347.0,1347.0,2438.0,5132.0,4592.0
"Orosi, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Orrum, NC",1347.0,1347.0,2438.0,5132.0,4592.0
"Osage Township, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Osage, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Osawatomie, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Osborne, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Oshawa, Canada",1347.0,1347.0,2438.0,5132.0,4592.0
"Oswego, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Osyka, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Paulsboro, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Otis AFB, MA",1347.0,1347.0,2438.0,5132.0,4592.0
"Ottawa, Canada",1347.0,1347.0,2438.0,5132.0,4592.0
"Ottawa, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Otto, WY",1347.0,1347.0,2438.0,5132.0,4592.0
"Ottumwa, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Ovalo, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Oviedo, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Owings Mills, MD",1347.0,1347.0,2438.0,5132.0,4592.0
"Oxford, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Ozark, AR",1347.0,1347.0,2438.0,5132.0,4592.0
"Pace, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Pacific Palisades, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Paducah, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Paget, Bermuda",1347.0,1347.0,2438.0,5132.0,4592.0
"Painesville, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Otsego, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"Ore City, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Pawnee, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Peachtree City, GA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pikeville, TN",1347.0,1347.0,2438.0,5132.0,4592.0
"Pilot Mountain, NC",1347.0,1347.0,2438.0,5132.0,4592.0
"Pilot Point, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Pine Apple, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Pine Grove, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Pine Log, GA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pine Ridge, SD",1347.0,1347.0,2438.0,5132.0,4592.0
"Pine River, MN",1347.0,1347.0,2438.0,5132.0,4592.0
"Pineland, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Pinesville, LA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pinewood, SC",1347.0,1347.0,2438.0,5132.0,4592.0
"Pinole Valley, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pinole, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pinson, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Pittsbburgh, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pittsboro, NC",1347.0,1347.0,2438.0,5132.0,4592.0
"Pittsbugh, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pittsburg, OK",1347.0,1347.0,2438.0,5132.0,4592.0
"Pittsford, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Placentia, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Plain Dealing, LA",1347.0,1347.0,2438.0,5132.0,4592.0
"Plainfield, CT",1347.0,1347.0,2438.0,5132.0,4592.0
"Plainfield, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Plainfiled, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Plains, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Plainview, AR",1347.0,1347.0,2438.0,5132.0,4592.0
"Plainville, CT",1347.0,1347.0,2438.0,5132.0,4592.0
"Plainville, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Plainville, SC",1347.0,1347.0,2438.0,5132.0,4592.0
"Pike, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Pike County, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Pierce, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Piedmont, SC",1347.0,1347.0,2438.0,5132.0,4592.0
"Pearl River, LA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pearl River, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Pearlsburg, VA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pecanga Indian Reservation, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pecos, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Peculiar, MO",1347.0,1347.0,2438.0,5132.0,4592.0
"Pedricktown, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Pekin, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Pelahatchie, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Pelham, GA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pelion, SC",1347.0,1347.0,2438.0,5132.0,4592.0
"Penfield, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"Penngrove, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Pennington, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"Paxton, NE",1347.0,1347.0,2438.0,5132.0,4592.0
"Penrith, Australia",1347.0,1347.0,2438.0,5132.0,4592.0
"Perry, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"Perryman, MD",1347.0,1347.0,2438.0,5132.0,4592.0
"Perrytown, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Petal, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Peverly, MO",1347.0,1347.0,2438.0,5132.0,4592.0
"Pflugerville, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Pharr, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Pheba, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Phil Campbell, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Phillipsburg, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Phillipsburg, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Phoenix, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Pickens, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Pico Rivera, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Perry Township, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"Orchard Park, NY",1347.0,1347.0,2438.0,5132.0,4592.0
"Orangevale, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Orange Park, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Newville, AL",1347.0,1347.0,2438.0,5132.0,4592.0
"Nice, France",1347.0,1347.0,2438.0,5132.0,4592.0
"Nichols, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"Nichols, GA",1347.0,1347.0,2438.0,5132.0,4592.0
"Nicodemus, KS",1347.0,1347.0,2438.0,5132.0,4592.0
"Niedermarsberg, Germany",1347.0,1347.0,2438.0,5132.0,4592.0
"Niosafutu, American Samoa",1347.0,1347.0,2438.0,5132.0,4592.0
"Nisswa, MN",1347.0,1347.0,2438.0,5132.0,4592.0
"Nocona, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"Norbone, MO",1347.0,1347.0,2438.0,5132.0,4592.0
"Norfolk, MA",1347.0,1347.0,2438.0,5132.0,4592.0
"Normandy, TN",1347.0,1347.0,2438.0,5132.0,4592.0
"Norris, OK",1347.0,1347.0,2438.0,5132.0,4592.0
"Norristown, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"North Andover, NJ",1347.0,1347.0,2438.0,5132.0,4592.0
"North Branford, CT",1347.0,1347.0,2438.0,5132.0,4592.0
"North Corbin, KY",1347.0,1347.0,2438.0,5132.0,4592.0
"North Easton, MA",1347.0,1347.0,2438.0,5132.0,4592.0
"North Fort Myers, FL",1347.0,1347.0,2438.0,5132.0,4592.0
"North Lawrence, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"North Loop, NE",1347.0,1347.0,2438.0,5132.0,4592.0
"North Loup, NE",1347.0,1347.0,2438.0,5132.0,4592.0
"North Sioux City, SD",1347.0,1347.0,2438.0,5132.0,4592.0
"Northampton, England",1347.0,1347.0,2438.0,5132.0,4592.0
"Northampton, VA",1347.0,1347.0,2438.0,5132.0,4592.0
"Northoltz, Germany",1347.0,1347.0,2438.0,5132.0,4592.0
"Northville, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"Norton, VA",1347.0,1347.0,2438.0,5132.0,4592.0
"Norton, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Newtown Square, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Newtonville, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"Newton, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"Newton, LA",1347.0,1347.0,2438.0,5132.0,4592.0
"New Derry, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"New Dunkirk, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"New Franken, WI",1347.0,1347.0,2438.0,5132.0,4592.0
"New Hebron, MS",1347.0,1347.0,2438.0,5132.0,4592.0
"New Hope, AR",1347.0,1347.0,2438.0,5132.0,4592.0
"New Iberia, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"New Kingston, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"New Lennox, IL",1347.0,1347.0,2438.0,5132.0,4592.0
"New Madrid, MO",1347.0,1347.0,2438.0,5132.0,4592.0
"New Market, TN",1347.0,1347.0,2438.0,5132.0,4592.0
"New Palestine, IN",1347.0,1347.0,2438.0,5132.0,4592.0
"New Philadelphia, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"New Plymouth, OH",1347.0,1347.0,2438.0,5132.0,4592.0
"New Prague, MN",1347.0,1347.0,2438.0,5132.0,4592.0
"Norway, MI",1347.0,1347.0,2438.0,5132.0,4592.0
"New Rockford, ND",1347.0,1347.0,2438.0,5132.0,4592.0
"New Vienna, IA",1347.0,1347.0,2438.0,5132.0,4592.0
"New Willard, TX",1347.0,1347.0,2438.0,5132.0,4592.0
"New Wilmington, PA",1347.0,1347.0,2438.0,5132.0,4592.0
"Newburgh, WV",1347.0,1347.0,2438.0,5132.0,4592.0
"Newbury Park, CA",1347.0,1347.0,2438.0,5132.0,4592.0
"Newcastle, Canada",1347.0,1347.0,2438.0,5132.0,4592.0
"Newcastle, TX",1347.0,1347.0,2438.0,5132.0,4592.0
