,College,MLB,NBA,NFL,Total,Rank,conference_College
418,Glendale Community College,253.0,369.0,369.0,991.0,414.0,
419,Lincoln Land Community College,253.0,369.0,369.0,991.0,414.0,
420,St. Mary's College,253.0,369.0,369.0,991.0,414.0,
421,San Joaquin Delta College,253.0,369.0,369.0,991.0,414.0,
422,University of South Carolina Aiken,253.0,369.0,369.0,991.0,414.0,
423,Coastal Carolina University,253.0,369.0,369.0,991.0,414.0,Big South
424,Wright State University,377.0,249.0,369.0,995.0,425.0,
425,Grove City College,283.0,369.0,346.0,998.0,426.0,
426,Trinity (TX),369.0,369.0,261.0,999.0,427.0,
427,Carroll (WI),369.0,369.0,261.0,999.0,427.0,
428,Heidelberg,369.0,369.0,261.0,999.0,427.0,
429,Washburn University,329.0,369.0,304.0,1002.0,430.0,
430,University of Wisconsin at Oshkosh,231.0,369.0,402.0,1002.0,430.0,
431,Drake University,732.0,99.0,172.0,1003.0,432.0,Pioneer
432,Cheyney University of Pennsylvania,369.0,159.0,476.0,1004.0,433.0,
433,DePauw University,369.0,313.0,322.0,1004.0,433.0,
434,University of Arkansas at Little Rock,456.0,179.0,369.0,1004.0,433.0,
435,Elizabeth City State University,369.0,313.0,322.0,1004.0,433.0,
436,DePaul University,732.0,24.0,249.0,1005.0,437.0,
437,University of North Texas,732.0,179.0,95.0,1006.0,438.0,C-USA
438,Ferrum College,377.0,369.0,261.0,1007.0,439.0,
439,Canisius,369.0,369.0,270.0,1008.0,440.0,
440,Langston,369.0,369.0,270.0,1008.0,440.0,
441,Ohio Wesleyan,369.0,369.0,270.0,1008.0,440.0,
442,Beloit College,329.0,313.0,369.0,1011.0,443.0,
443,Southeastern Oklahoma State University,329.0,313.0,369.0,1011.0,443.0,
444,Azusa Pacific University,329.0,313.0,369.0,1011.0,443.0,
445,City College of San Francisco,329.0,313.0,369.0,1011.0,443.0,
446,Howard College,329.0,313.0,369.0,1011.0,443.0,
447,Bloomsburg University of Pennsylvania,329.0,313.0,369.0,1011.0,443.0,
448,Indiana University of Pennsylvania,377.0,369.0,270.0,1016.0,449.0,
449,John Carroll,369.0,369.0,281.0,1019.0,450.0,
450,Wayne State (MI),369.0,369.0,281.0,1019.0,450.0,
451,Los Angeles State University,369.0,369.0,281.0,1019.0,450.0,
452,Bishop,369.0,369.0,281.0,1019.0,450.0,
453,Jefferson Davis Community College,283.0,369.0,369.0,1021.0,454.0,
454,Jefferson College,283.0,369.0,369.0,1021.0,454.0,
455,Lubbock Christian University,283.0,369.0,369.0,1021.0,454.0,
456,Mansfield University of Pennsylvania,283.0,369.0,369.0,1021.0,454.0,
457,Iowa Western Community College,283.0,369.0,369.0,1021.0,454.0,
458,Alvin Community College,283.0,369.0,369.0,1021.0,454.0,
459,Bellevue Community College,283.0,369.0,369.0,1021.0,454.0,
460,Juniata College,283.0,369.0,369.0,1021.0,454.0,
461,Kishwaukee College,283.0,369.0,369.0,1021.0,454.0,
462,Carlisle Indian Industrial School,283.0,369.0,369.0,1021.0,454.0,
463,Trinidad State Junior College,283.0,369.0,369.0,1021.0,454.0,
464,Santa Fe Community College,283.0,369.0,369.0,1021.0,454.0,
465,Saddleback College,283.0,369.0,369.0,1021.0,454.0,
466,University of North Florida,283.0,369.0,369.0,1021.0,454.0,
467,Erskine College,283.0,369.0,369.0,1021.0,454.0,
468,Diablo Valley College,283.0,369.0,369.0,1021.0,454.0,
469,County College of Morris,283.0,369.0,369.0,1021.0,454.0,
470,San Diego City College,283.0,369.0,369.0,1021.0,454.0,
471,Treasure Valley Community College,283.0,369.0,369.0,1021.0,454.0,
472,Triton College,283.0,369.0,369.0,1021.0,454.0,
473,Galveston College,283.0,369.0,369.0,1021.0,454.0,
474,Santa Rosa Junior College,283.0,369.0,369.0,1021.0,454.0,
475,St. Petersburg College,283.0,369.0,369.0,1021.0,454.0,
476,San Bernardino Valley College,283.0,369.0,369.0,1021.0,454.0,
477,St. Leo College,283.0,369.0,369.0,1021.0,454.0,
478,Guilford College,192.0,199.0,630.0,1021.0,479.0,
479,Marietta College,283.0,369.0,371.0,1023.0,480.0,
480,Gettysburg College,253.0,369.0,402.0,1024.0,481.0,
481,University of Tennessee at Martin,369.0,313.0,346.0,1028.0,482.0,Ohio Valley
482,Eastern New Mexico University,369.0,313.0,346.0,1028.0,482.0,
483,Long Beach City College,130.0,369.0,534.0,1033.0,484.0,
484,Tennessee Technological University,555.0,199.0,281.0,1035.0,485.0,Ohio Valley
485,George Washington University,732.0,104.0,202.0,1038.0,486.0,
486,Texas A&M University-Kingsville,555.0,369.0,117.0,1041.0,487.0,
487,Baldwin-Wallace,369.0,369.0,304.0,1042.0,488.0,
488,Coastal Carolina,369.0,369.0,304.0,1042.0,488.0,
489,Western Maryland University,369.0,369.0,304.0,1042.0,488.0,
490,Ashland,369.0,369.0,304.0,1042.0,488.0,
491,Compton CC (CA),369.0,369.0,304.0,1042.0,488.0,
492,Waynesburg,369.0,369.0,304.0,1042.0,488.0,
493,Southern Connecticut State University,369.0,369.0,304.0,1042.0,488.0,
494,Hardin-Simmons University,555.0,313.0,177.0,1045.0,495.0,
495,Barton County Community College,456.0,222.0,369.0,1047.0,496.0,
496,Bethune-Cookman College,456.0,222.0,369.0,1047.0,496.0,MEAC
497,Seward County Community College,369.0,313.0,369.0,1051.0,498.0,
498,Seattle Pacific University,369.0,313.0,369.0,1051.0,498.0,
499,Huntington University,369.0,313.0,369.0,1051.0,498.0,
500,Benedict College,369.0,313.0,369.0,1051.0,498.0,
501,Brigham Young University-Hawaii,369.0,313.0,369.0,1051.0,498.0,
502,Indiana University-Purdue,369.0,313.0,369.0,1051.0,498.0,
503,St. Francis College,369.0,313.0,369.0,1051.0,498.0,
504,Aurora University,369.0,313.0,369.0,1051.0,498.0,
505,Clark Atlanta University,369.0,313.0,369.0,1051.0,498.0,
506,State University of New York at Potsdam,369.0,313.0,369.0,1051.0,498.0,
507,State University of West Georgia,369.0,313.0,369.0,1051.0,498.0,
508,Lawrence Technological University,369.0,313.0,369.0,1051.0,498.0,
509,University of Missouri-Kansas City,369.0,313.0,369.0,1051.0,498.0,
510,Alliance College,369.0,313.0,369.0,1051.0,498.0,
511,Christopher Newport University,369.0,313.0,369.0,1051.0,498.0,
512,Trenton State University,369.0,313.0,369.0,1051.0,498.0,
513,Dakota Wesleyan University,369.0,313.0,369.0,1051.0,498.0,
514,King's College,369.0,313.0,369.0,1051.0,498.0,
515,Voorhees College,369.0,313.0,369.0,1051.0,498.0,
516,Augusta State University,369.0,313.0,369.0,1051.0,498.0,
517,Alabama - Huntsville,369.0,313.0,369.0,1051.0,498.0,
518,Westchester CC,369.0,313.0,369.0,1051.0,498.0,
519,Missouri State,369.0,313.0,369.0,1051.0,498.0,
520,University of Wisconsin,369.0,313.0,369.0,1051.0,498.0,
521,Friendship Junior College,369.0,313.0,369.0,1051.0,498.0,
522,University of Southern Colorado,369.0,313.0,369.0,1051.0,498.0,
523,New Mexico Institute of Mining and Technology,369.0,313.0,369.0,1051.0,498.0,
524,Hanover College,369.0,313.0,369.0,1051.0,498.0,
525,Molloy,369.0,313.0,369.0,1051.0,498.0,
526,University of Wisconsin at Parkside,369.0,313.0,369.0,1051.0,498.0,
527,University of California,369.0,313.0,369.0,1051.0,498.0,
528,Albertson College of Idaho,369.0,313.0,369.0,1051.0,498.0,
529,Pikeville College,369.0,313.0,369.0,1051.0,498.0,
530,University of Scranton,369.0,313.0,369.0,1051.0,498.0,
531,Westminster College of Pennsylvania,369.0,313.0,369.0,1051.0,498.0,
532,Westminster College of Utah,369.0,313.0,369.0,1051.0,498.0,
533,Queens College,369.0,313.0,369.0,1051.0,498.0,
534,Northwood Institute,369.0,313.0,369.0,1051.0,498.0,
535,Bethel College,369.0,313.0,369.0,1051.0,498.0,
536,Master's College,369.0,313.0,369.0,1051.0,498.0,
537,University of the District of Columbia,369.0,313.0,369.0,1051.0,498.0,
538,Wheeling Jesuit University,369.0,313.0,369.0,1051.0,498.0,
539,Acadia University,369.0,313.0,369.0,1051.0,498.0,
540,College of Saint Rose,369.0,313.0,369.0,1051.0,498.0,
541,Central State College,369.0,313.0,369.0,1051.0,498.0,
542,Saint Mary's University of Minnesota,369.0,313.0,369.0,1051.0,498.0,
543,Hiram Scott College,369.0,313.0,369.0,1051.0,498.0,
544,Central Missouri State University,369.0,313.0,371.0,1053.0,545.0,
545,Northwestern State University of Louisiana,555.0,369.0,129.0,1053.0,545.0,
546,Campbell University,377.0,313.0,369.0,1059.0,547.0,Pioneer
547,Siena College,377.0,313.0,369.0,1059.0,547.0,
548,Butler,369.0,369.0,322.0,1060.0,549.0,
549,SW Oklahoma State University,369.0,369.0,322.0,1060.0,549.0,
550,Phillips,369.0,369.0,322.0,1060.0,549.0,
551,Albany State University (GA),369.0,369.0,322.0,1060.0,549.0,
552,C.W. Post,369.0,369.0,322.0,1060.0,549.0,
553,Northern Michigan,369.0,369.0,322.0,1060.0,549.0,
554,St. Mary's (MN),369.0,369.0,322.0,1060.0,549.0,
555,Chowan,369.0,369.0,322.0,1060.0,549.0,
556,Angelina College,329.0,369.0,369.0,1067.0,557.0,
557,Bowdoin College,329.0,369.0,369.0,1067.0,557.0,
558,University of Maryland Baltimore,329.0,369.0,369.0,1067.0,557.0,
559,Austin College,329.0,369.0,369.0,1067.0,557.0,
560,California State University-Sacramento,329.0,369.0,369.0,1067.0,557.0,
561,Pensacola Junior College,329.0,369.0,369.0,1067.0,557.0,
562,Modesto Junior College,329.0,369.0,369.0,1067.0,557.0,
563,Santa Barbara City College,329.0,369.0,369.0,1067.0,557.0,
564,California State University-Dominguez Hills,329.0,369.0,369.0,1067.0,557.0,
565,Union University,329.0,369.0,369.0,1067.0,557.0,
566,Chaffey College,329.0,369.0,369.0,1067.0,557.0,
567,Texarkana College,329.0,369.0,369.0,1067.0,557.0,
568,Maryville College,329.0,369.0,369.0,1067.0,557.0,
569,Mississippi Gulf Coast Community College,329.0,369.0,369.0,1067.0,557.0,
570,Concordia College-Bronxville,329.0,369.0,369.0,1067.0,557.0,
571,Crowder College,329.0,369.0,369.0,1067.0,557.0,
572,College of the Canyons,329.0,369.0,369.0,1067.0,557.0,
573,Florida College,329.0,369.0,369.0,1067.0,557.0,
574,Compton Community College,329.0,369.0,369.0,1067.0,557.0,
575,Colby College,329.0,369.0,369.0,1067.0,557.0,
576,College of Southern Idaho,329.0,369.0,369.0,1067.0,557.0,
577,Samford University,456.0,369.0,242.0,1067.0,578.0,Southern
578,Georgia State University,369.0,249.0,449.0,1067.0,578.0,Sun Belt
579,St. Francis University,377.0,369.0,322.0,1068.0,580.0,
580,North Carolina A&T State University,555.0,369.0,152.0,1076.0,581.0,MEAC
581,San Francisco State University,456.0,369.0,253.0,1078.0,582.0,
582,Northwest Oklahoma State University,369.0,369.0,346.0,1084.0,583.0,
583,NE State (OK),369.0,369.0,346.0,1084.0,583.0,
584,University of Findlay,369.0,369.0,346.0,1084.0,583.0,
585,Gustavus Adolphus,369.0,369.0,346.0,1084.0,583.0,
586,Missouri Western State University,369.0,369.0,346.0,1084.0,583.0,
587,Southwestern (TX),369.0,369.0,346.0,1084.0,583.0,
588,Concordia-Moorhead (MN),369.0,369.0,346.0,1084.0,583.0,
589,Austin,369.0,369.0,346.0,1084.0,583.0,
590,California Lutheran,369.0,369.0,346.0,1084.0,583.0,
591,Morehouse College,369.0,313.0,402.0,1084.0,592.0,
592,Savannah State University,369.0,313.0,402.0,1084.0,592.0,MEAC
593,Cameron University,555.0,249.0,281.0,1085.0,594.0,
594,Muhlenberg College,555.0,249.0,281.0,1085.0,594.0,
595,Delaware State University,555.0,313.0,218.0,1086.0,596.0,MEAC
596,Occidental College,377.0,369.0,346.0,1092.0,597.0,
597,University of Texas at San Antonio,369.0,249.0,476.0,1094.0,598.0,C-USA
598,Swarthmore College,329.0,369.0,402.0,1100.0,599.0,
599,Montclair State University,329.0,369.0,402.0,1100.0,599.0,
600,Loyola University-Chicago,732.0,88.0,281.0,1101.0,601.0,
601,Oklahoma Baptist University,369.0,199.0,534.0,1102.0,602.0,
602,Northern Arizona University,732.0,222.0,148.0,1102.0,603.0,Big Sky
603,Towson University,456.0,369.0,281.0,1106.0,604.0,CAA
604,University of West Alabama,456.0,369.0,281.0,1106.0,604.0,
605,Northwest Missouri State University,456.0,369.0,281.0,1106.0,604.0,
606,University of West Georgia,369.0,369.0,371.0,1109.0,607.0,
607,Trinity (CT),369.0,369.0,371.0,1109.0,607.0,
608,St. Vincent,369.0,369.0,371.0,1109.0,607.0,
609,Western Ontario University,369.0,369.0,371.0,1109.0,607.0,
610,Iowa Central,369.0,369.0,371.0,1109.0,607.0,
611,Mankato State University,369.0,369.0,371.0,1109.0,607.0,
612,University of Wisconsin at Milwaukee,369.0,369.0,371.0,1109.0,607.0,
613,Augustana (SD),369.0,369.0,371.0,1109.0,607.0,
614,Schreiner College,369.0,369.0,371.0,1109.0,607.0,
615,University of Wisconsin at Superior,369.0,369.0,371.0,1109.0,607.0,
616,Beloit,369.0,369.0,371.0,1109.0,607.0,
617,Lawrence,369.0,369.0,371.0,1109.0,607.0,
618,Scranton,369.0,369.0,371.0,1109.0,607.0,
619,Clark (GA),369.0,369.0,371.0,1109.0,607.0,
620,State University Ambrose,369.0,369.0,371.0,1109.0,607.0,
621,University of Evansville,377.0,199.0,534.0,1110.0,622.0,
622,St. Edward's University,208.0,369.0,534.0,1111.0,623.0,
623,Trinity University,377.0,369.0,369.0,1115.0,624.0,
624,Three Rivers Community College,377.0,369.0,369.0,1115.0,624.0,
625,South Florida Community College,377.0,369.0,369.0,1115.0,624.0,
626,Mount Hood Community College,377.0,369.0,369.0,1115.0,624.0,
627,Spokane Falls Community College,377.0,369.0,369.0,1115.0,624.0,
628,Antelope Valley College,377.0,369.0,369.0,1115.0,624.0,
629,Phoenix College,377.0,369.0,369.0,1115.0,624.0,
630,Hutchinson Community College,377.0,369.0,369.0,1115.0,624.0,
631,Winthrop University,377.0,369.0,369.0,1115.0,624.0,
632,Southwestern Illinois College,377.0,369.0,369.0,1115.0,624.0,
633,McDaniel College,377.0,369.0,369.0,1115.0,624.0,
634,Millsaps College,377.0,369.0,369.0,1115.0,624.0,
635,Moorpark College,377.0,369.0,369.0,1115.0,624.0,
636,University of Mary Hardin-Baylor,377.0,369.0,369.0,1115.0,624.0,
637,Santa Monica College,377.0,369.0,369.0,1115.0,624.0,
638,Calhoun Community College,377.0,369.0,369.0,1115.0,624.0,
639,Seminole Community College,377.0,369.0,369.0,1115.0,624.0,
640,Bethany College,377.0,369.0,369.0,1115.0,624.0,
641,Bacone College,377.0,369.0,369.0,1115.0,624.0,
642,Foothill College,377.0,369.0,369.0,1115.0,624.0,
643,New Mexico Junior College,377.0,369.0,369.0,1115.0,624.0,
644,Tallahassee Community College,377.0,369.0,369.0,1115.0,624.0,
645,New York Institute of Technology,377.0,369.0,369.0,1115.0,624.0,
646,St. John's College,377.0,369.0,369.0,1115.0,624.0,
647,St. Xavier University,377.0,369.0,369.0,1115.0,624.0,
648,University of St. Thomas,377.0,369.0,369.0,1115.0,624.0,
649,Parkland College,377.0,369.0,369.0,1115.0,624.0,
650,Contra Costa College,377.0,369.0,369.0,1115.0,624.0,
651,DeAnza College,377.0,369.0,369.0,1115.0,624.0,
652,Lon Morris College,377.0,369.0,369.0,1115.0,624.0,
653,University of Arkansas-Fort Smith,377.0,369.0,369.0,1115.0,624.0,
654,Ventura College,377.0,369.0,369.0,1115.0,624.0,
655,West Valley College,377.0,369.0,369.0,1115.0,624.0,
656,Southern Illinois University-Edwardsville,377.0,369.0,369.0,1115.0,624.0,
657,Brookdale Community College,377.0,369.0,369.0,1115.0,624.0,
658,Chattahoochee Valley Community College,377.0,369.0,369.0,1115.0,624.0,
659,Lamar Community College,377.0,369.0,369.0,1115.0,624.0,
660,Cleveland State Community College,377.0,369.0,369.0,1115.0,624.0,
661,Fort Scott Community College,377.0,369.0,369.0,1115.0,624.0,
662,Winston-Salem State University,732.0,144.0,242.0,1118.0,663.0,
663,Stephen F. Austin State University,732.0,249.0,141.0,1122.0,664.0,Southland
664,Kentucky Wesleyan College,555.0,199.0,369.0,1123.0,665.0,
665,Rhodes College,283.0,369.0,476.0,1128.0,666.0,
666,University of Minnesota-Duluth,369.0,313.0,449.0,1131.0,667.0,
667,Yankton College,369.0,313.0,449.0,1131.0,667.0,
668,Chapman University,231.0,369.0,534.0,1134.0,669.0,
669,Case Western Reserve University,456.0,313.0,369.0,1138.0,670.0,
670,University of Rochester,456.0,313.0,369.0,1138.0,670.0,
671,Lincoln Memorial University,456.0,313.0,369.0,1138.0,670.0,
672,University of Puget Sound,456.0,313.0,369.0,1138.0,670.0,
673,Bloomsburg,369.0,369.0,402.0,1140.0,674.0,
674,Bethany (WV),369.0,369.0,402.0,1140.0,674.0,
675,East Central (OK),369.0,369.0,402.0,1140.0,674.0,
676,Kutztown Universtiy of Pennsylvania,369.0,369.0,402.0,1140.0,674.0,
677,Bowie State University,369.0,369.0,402.0,1140.0,674.0,
678,Muskingum,369.0,369.0,402.0,1140.0,674.0,
679,University of Wisconsin at Platteville,369.0,369.0,402.0,1140.0,674.0,
680,Colorado State-Pueblo,369.0,369.0,402.0,1140.0,674.0,
681,Adams State University,369.0,369.0,402.0,1140.0,674.0,
682,Chadron State University,369.0,369.0,402.0,1140.0,674.0,
683,Rochester,369.0,369.0,402.0,1140.0,674.0,
684,McMurry,369.0,369.0,402.0,1140.0,674.0,
685,Ohio Northern,369.0,369.0,402.0,1140.0,674.0,
686,Albright,369.0,369.0,402.0,1140.0,674.0,
687,U.S. International,369.0,369.0,402.0,1140.0,674.0,
688,Manchester,369.0,369.0,402.0,1140.0,674.0,
689,New Haven,369.0,369.0,402.0,1140.0,674.0,
690,Michigan Tech,369.0,369.0,402.0,1140.0,674.0,
691,Centre College,555.0,369.0,222.0,1146.0,692.0,
692,St. Lawrence University,329.0,369.0,449.0,1147.0,693.0,
693,Arkansas Tech University,456.0,369.0,322.0,1147.0,693.0,
694,Whittier College,377.0,369.0,402.0,1148.0,695.0,
695,University of Charleston,555.0,222.0,371.0,1148.0,696.0,
696,Salem International University,555.0,249.0,346.0,1150.0,697.0,
697,Wayne State University,555.0,249.0,346.0,1150.0,697.0,
698,University of Wisconsin at Eau Claire,369.0,249.0,534.0,1152.0,699.0,
699,University of California-Davis,555.0,369.0,231.0,1155.0,700.0,Big Sky
700,El Camino College,253.0,369.0,534.0,1156.0,701.0,
701,Hastings College,369.0,313.0,476.0,1158.0,702.0,
702,Robert Morris University,369.0,313.0,476.0,1158.0,702.0,Northeast
703,Geneva College,456.0,369.0,346.0,1171.0,704.0,
704,Grossmont College,172.0,369.0,630.0,1171.0,704.0,
705,Slippery Rock University of Pennsylvania,456.0,313.0,402.0,1171.0,706.0,
706,University of Central Arkansas,555.0,313.0,304.0,1172.0,707.0,Southland
707,Central State University,555.0,249.0,369.0,1173.0,708.0,
708,American University,555.0,249.0,369.0,1173.0,708.0,
709,Emporia State University,555.0,369.0,253.0,1177.0,710.0,
710,Parsons College,283.0,369.0,534.0,1186.0,711.0,
711,Iona College,377.0,179.0,630.0,1186.0,712.0,
712,New Mex. Mil. InState University,369.0,369.0,449.0,1187.0,713.0,
713,Nebraska Wesleyan,369.0,369.0,449.0,1187.0,713.0,
714,St. Olaf,369.0,369.0,449.0,1187.0,713.0,
715,St. Norbert,369.0,369.0,449.0,1187.0,713.0,
716,Allen,369.0,369.0,449.0,1187.0,713.0,
717,Fort Lewis,369.0,369.0,449.0,1187.0,713.0,
718,Fisk,369.0,369.0,449.0,1187.0,713.0,
719,Redlands,369.0,369.0,449.0,1187.0,713.0,
720,Benedictine,369.0,369.0,449.0,1187.0,713.0,
721,Macalester,369.0,369.0,449.0,1187.0,713.0,
722,Monmouth University,555.0,313.0,322.0,1190.0,723.0,Big South
723,Point Park University,456.0,369.0,369.0,1194.0,724.0,
724,Johns Hopkins University,456.0,369.0,369.0,1194.0,724.0,
725,Loyola University-New Orleans,456.0,369.0,369.0,1194.0,724.0,
726,University of Rio Grande,456.0,369.0,369.0,1194.0,724.0,
727,Southwest Tennessee Community College,456.0,369.0,369.0,1194.0,724.0,
728,Brigham Young University-Idaho,456.0,369.0,369.0,1194.0,724.0,
729,Union College,456.0,369.0,369.0,1194.0,724.0,
730,University of North Carolina at Asheville,456.0,369.0,369.0,1194.0,724.0,
731,South Mountain Community College,456.0,369.0,369.0,1194.0,724.0,
732,Butte College,456.0,369.0,369.0,1194.0,724.0,
733,Odessa College,456.0,369.0,369.0,1194.0,724.0,
734,Arizona Western College,456.0,369.0,369.0,1194.0,724.0,
735,Edison College,456.0,369.0,369.0,1194.0,724.0,
736,Charleston Southern University,456.0,369.0,369.0,1194.0,724.0,Big South
737,College of Eastern Utah,456.0,369.0,369.0,1194.0,724.0,
738,South Suburban College,456.0,369.0,369.0,1194.0,724.0,
739,Milligan College,456.0,369.0,369.0,1194.0,724.0,
740,Cornell College,456.0,369.0,369.0,1194.0,724.0,
741,Cowley County Community College,456.0,369.0,369.0,1194.0,724.0,
742,Nova Southeastern University,456.0,369.0,369.0,1194.0,724.0,
743,Cosumnes River College,456.0,369.0,369.0,1194.0,724.0,
744,St. Joseph's College,456.0,369.0,369.0,1194.0,724.0,
745,University of Connecticut at Avery Point,456.0,369.0,369.0,1194.0,724.0,
746,Vernon College,456.0,369.0,369.0,1194.0,724.0,
747,Cuesta College,456.0,369.0,369.0,1194.0,724.0,
748,Sacred Heart College,456.0,369.0,369.0,1194.0,724.0,
749,Monterey Peninsula College,456.0,369.0,369.0,1194.0,724.0,
750,Yakima Valley Community College,456.0,369.0,369.0,1194.0,724.0,
751,Buena Vista University,456.0,369.0,369.0,1194.0,724.0,
752,Susquehanna University,456.0,369.0,369.0,1194.0,724.0,
753,University of Central Missouri,456.0,369.0,369.0,1194.0,724.0,
754,University of Southern Indiana,456.0,369.0,369.0,1194.0,724.0,
755,Alvernia College,456.0,369.0,369.0,1194.0,724.0,
756,MiraCosta College,456.0,369.0,369.0,1194.0,724.0,
757,California University of Pennsylvania,456.0,369.0,369.0,1194.0,724.0,
758,Brewton-Parker College,456.0,369.0,369.0,1194.0,724.0,
759,Kalamazoo Valley Community College,456.0,369.0,369.0,1194.0,724.0,
760,Hillsborough Community College,456.0,369.0,369.0,1194.0,724.0,
761,Northern Kentucky University,456.0,369.0,369.0,1194.0,724.0,
762,Hinds Community College,456.0,369.0,369.0,1194.0,724.0,
763,Anderson College,456.0,369.0,369.0,1194.0,724.0,
