League,College,Count,LeagueTotal,Percentage,Rank
NBA,Murray State University,11,4371,0.2516586593456875,43.0
NBA,Niagara University,11,4371,0.2516586593456875,43.0
NBA,Texas Tech University,11,4371,0.2516586593456875,43.0
NBA,University of Toledo,11,4371,0.2516586593456875,43.0
NFL,Oklahoma State University,164,24459,0.6705098327813893,43.0
NFL,Oregon State University,164,24459,0.6705098327813893,43.0
MLB,Indiana State University,19,7540,0.2519893899204244,44.0
MLB,Ohio University,19,7540,0.2519893899204244,44.0
MLB,Rutgers University,19,7540,0.2519893899204244,44.0
MLB,University of Nevada-Las Vegas,19,7540,0.2519893899204244,44.0
MLB,University of Washington,19,7540,0.2519893899204244,44.0
NBA,Eastern Michigan University,10,4371,0.22878059940517045,44.0
NBA,Fordham University,10,4371,0.22878059940517045,44.0
NBA,Indiana State University,10,4371,0.22878059940517045,44.0
NBA,Jacksonville University,10,4371,0.22878059940517045,44.0
NBA,Manhattan College,10,4371,0.22878059940517045,44.0
NBA,Ohio University,10,4371,0.22878059940517045,44.0
NBA,Seattle University,10,4371,0.22878059940517045,44.0
NBA,University of Nebraska,10,4371,0.22878059940517045,44.0
NBA,Virginia Commonwealth University,10,4371,0.22878059940517045,44.0
NFL,Texas Christian University,162,24459,0.6623328836011284,44.0
MLB,Blinn College,18,7540,0.23872679045092837,45.0
MLB,Fresno City College,18,7540,0.23872679045092837,45.0
MLB,Iowa State University,18,7540,0.23872679045092837,45.0
MLB,Oral Roberts University,18,7540,0.23872679045092837,45.0
MLB,San Jose State University,18,7540,0.23872679045092837,45.0
MLB,University of Massachusetts Amherst,18,7540,0.23872679045092837,45.0
NBA,California State University-Fullerton,9,4371,0.20590253946465342,45.0
NBA,Colorado State University,9,4371,0.20590253946465342,45.0
NBA,Old Dominion University,9,4371,0.20590253946465342,45.0
NBA,Princeton University,9,4371,0.20590253946465342,45.0
NBA,Southern Illinois University,9,4371,0.20590253946465342,45.0
NBA,Texas Christian University,9,4371,0.20590253946465342,45.0
NBA,University of Louisiana at Lafayette,9,4371,0.20590253946465342,45.0
NBA,University of Pennsylvania,9,4371,0.20590253946465342,45.0
NBA,Utah State University,9,4371,0.20590253946465342,45.0
NBA,Weber State University,9,4371,0.20590253946465342,45.0
NFL,University of South Carolina,161,24459,0.658244409010998,45.0
MLB,Indian River Community College,17,7540,0.22546419098143236,46.0
MLB,Los Angeles Pierce College,17,7540,0.22546419098143236,46.0
MLB,Riverside Community College,17,7540,0.22546419098143236,46.0
MLB,San Jacinto College-North Campus,17,7540,0.22546419098143236,46.0
MLB,Santa Ana College,17,7540,0.22546419098143236,46.0
